[2024-11-05 10:54:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:55:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:56:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:57:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:58:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:59:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 11:00:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 11:00:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 11:00:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 11:00:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 11:00:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 11:00:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
