[2024-10-28 18:34:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:34:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:34:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:34:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:34:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:35:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:35:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:35:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:35:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:35:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:35:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:36:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:36:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:36:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:36:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:36:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:36:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:37:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:37:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:37:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:37:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:37:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:37:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:38:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:38:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:38:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:38:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:38:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:38:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:39:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:39:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
